"sample_id","TN_CHN","TC_CHN"
2891,1.1,10.5
2905,1.58,18.8
2912,1.35612189769745,15.937
2919,1.59,22
2928,1.89,32.9
2934,2.1,21.9
2939,2.21,48.7
2949,2.39,34.1
2956,1.85,19.8
2963,2.84,49.8
2970,0.9,9.7
2976,1.59,17.1
2981,0.7,8.5
2992,1.7,17.7
2999,1.6,14.691
3011,1.38595625758171,13.999
3018,1.12,12.6
3025,0.7929999999999999,8.043
3046,1.66,13.9
3060,1.14,9.6
3063,1.4,14.8
3083,1.264,12.358
3098,1.21495127677917,12.268
3109,2.359,51.437
3135,1.51,12.6
3151,1.09,11.6
3158,1.7,15.206
3160,1.38,12.3
3172,1.5,14.884
3181,0.87,10
3189,1.31,12.9
3193,2,25
3203,2.21,24.4
3210,1.41,11.9
3217,1.45,15.3
3231,2,35.466
3235,1.19,10.9
3245,1.65,15.4
3248,1.77,16.5
3258,1.71,16.2
3262,1.85274228453636,18.264
3273,1.35,12.2
3278,2.2,31.7
3289,1.24,12.2
3296,1.6517548263073,17.637
3303,1.76841616630554,22.881
3310,1.6,15.039
3313,1.54,14.9
3324,1.225,12.987
3338,0.7,12.8
3341,2.098,29.629
3352,1.56,18
3359,1.4,14.5
3366,1.39,16.2
3370,1.19,11.8
3380,1.36,13.1
3383,1.027,10.377
3394,1.21264278888702,12.103
3398,1.2,12.3
3407,1.00201666355133,9.905
3412,0.85,9.7
3428,1.36045634746552,14.34
3436,1.1,21.1
3443,1.43,12.5
3446,1.4,13.069
3457,1.19652427732944,11.505
3465,1.45,13.2
3472,2.34,59.8
3479,1.3,14.4
3486,1.2,13
3493,1.049,10.53
3515,1.18,14.8
3523,2.52,49.9
3547,2.4,44.855
3558,1.63,14.6
3562,1.25,12.5
3574,1.7,20
3578,1.14,11.7
3593,1.07,11.734
3600,1.213,13.771
3621,1.28,13.1
3628,1.88,19.1
3656,1.33734986186028,14.876
3684,1.29,12.7
3691,0.94,10.7
3694,1.281,12.205
3729,1.55,70.1
3743,1.59,98.6
3751,1.19,12.8
3758,1.31,14.5
3818,2.1,29.3
4100,2,27.297
4799,0.151,95.2
4834,0.228,80.9
4862,0.178,50.3
4890,0.159,65.6
4983,0.195,84.9
4990,0.192,62.5
4997,1.8,17.8
5038,1.7,17.1
5045,1.3,12.9
5052,1.3,12.7
5095,0.192,16.7
5102,0.186,16.2
5113,0.222,19.5
5120,0.238,21.8
5127,0.199,17.7
5134,0.218,21.2
5155,1.6,16.2
5162,1.5,17.4
5202,1.5,20.7
5209,2.7,79
5216,2.1,33.5
5223,1.8,17
5244,3.8,49.6
5258,1.9,21.4
5265,3.9,38.7
5275,1.6,11.9
5282,1.7,16.1
5324,1.9,18.3
5331,2,19.2
5338,3.1,30.8
5345,2.2,22.8
5387,0.214,19.9
5394,0.214,21
5401,0.246,22.6
5408,1.6,16
5443,2.3,22.4
5450,2.9,30.2
5457,2.9,28.1
5477,2.2,64.8
5505,2.2,35.6
5512,1.7,91.8
5519,2.5,77.7
5526,1.7,27.7
5533,1.7,15.4
5540,2.5,68.5
5547,1.3,18.8
5554,1.5,14.5
5561,2.6,25.5
5568,1.4,13.2
5582,3.1,30.7
5590,2.3,91.1
5597,2.9,33.7
5604,2.2,22.1
5611,2.1,21.1
5632,0.8,8.7
5639,0.8,9.2
5646,1,12.9
5660,0.8,10.4
5667,1.1,14.2
5674,1,11.5
5681,0.9,9.1
5688,1.1,14
5695,1.7,14.9
5702,2,18.3
5709,1.7,14.9
5723,2.2,25
5730,2.3,21.6
5737,2.1,17.7
5744,2.7,25
5751,2.2,21.2
5758,2.3,21.5
5779,2.7,24.8
5786,1.1,11.3
5795,1.2,11.8
5802,1.5,15.5
5810,1.3,14.2
5831,1.1,11.5
5838,1.4,13.7
5858,1,9.7
5865,1,9.5
5884,1.9,17.7
5891,1.8,19.8
5898,1.9,20.1
5919,2.1,19
5926,2,23.3
5947,2.5,25.4
5954,2,23.8
5961,6,60.1
5982,3.7,36.7
5989,3.3,33.3
5996,4.4,46.8
6024,2.7,26.4
6048,1.3,14.6
6058,2.5,27
6065,1.2,11.9
6072,1.2,11.8
6079,1.2,11.5
6098,1.5,14.5
6153,1.1,11.4
6162,1.3,13.8
6173,1.3,15
6180,1.4,14.2
6252,1.2,14.4
6259,1.3,12.9
6266,0.5,5.6
6280,1.3,12.3
6294,1,13.1
6301,0.9,28.7
6308,1,23.8
6315,1.2,12.1
6322,1,9.3
6329,1,9.7
6336,1.4,16.1
6378,1,14.5
6385,0.7,6.2
6392,1,11.6
6399,1.3,28.5
6423,1.4,38.3
6441,1.03654488921165,9.872857332229607
6892,1.02218002080917,10.4254591464996
6908,1.25102609395981,12.6158618927002
6915,0.95315046608448,9.43285822868347
6932,1.07636779546738,11.0283553600311
